planner_key,scenario_id,scenario_family,mechanism,interpretation,evidence_level,trace_evidence_required_for_waiting_claim,base_success,candidate_success,success_delta,base_unfinished,candidate_unfinished,unfinished_delta,collision_delta,near_miss_delta,snqi_delta,candidate_time_to_goal_norm,base_episodes,candidate_episodes
ppo,classic_t_intersection_medium,t_intersection,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.3006,0.4643,3,3
ppo,classic_urban_crossing_medium,crossing,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2192,0.7139,3,3
ppo,francis2023_accompanying_peer,accompanying_peer,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2062,0.6977,3,3
ppo,francis2023_down_path,down_path,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2038,0.6977,3,3
ppo,francis2023_following_human,following_human,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2141,0.6977,3,3
ppo,francis2023_leading_human,leading_human,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2094,0.6977,3,3
ppo,francis2023_pedestrian_overtaking,pedestrian_overtaking,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2008,0.7042,3,3
prediction_planner,classic_group_crossing_high,group_crossing,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2141,0.747,3,3
prediction_planner,classic_group_crossing_low,group_crossing,late_clean_completion,"h500 converts timeouts without aggregate safety cost, but completion uses much of the longer budget.",aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2099,0.7987,3,3
prediction_planner,francis2023_intersection_no_gesture,intersection_no_gesture,late_clean_completion,"h500 converts timeouts without aggregate safety cost, but completion uses much of the longer budget.",aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2087,0.8075,3,3
prediction_planner,francis2023_intersection_proceed,intersection_proceed,late_clean_completion,"h500 converts timeouts without aggregate safety cost, but completion uses much of the longer budget.",aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2087,0.8075,3,3
prediction_planner,francis2023_intersection_wait,intersection_wait,late_clean_completion,"h500 converts timeouts without aggregate safety cost, but completion uses much of the longer budget.",aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2087,0.8075,3,3
prediction_planner,francis2023_pedestrian_overtaking,pedestrian_overtaking,late_clean_completion,"h500 converts timeouts without aggregate safety cost, but completion uses much of the longer budget.",aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.206,0.8994,3,3
sacadrl,francis2023_exiting_elevator,exiting_elevator,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2547,0.3926,3,3
socnav_sampling,classic_bottleneck_low,bottleneck,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2269,0.6155,3,3
socnav_sampling,francis2023_pedestrian_overtaking,pedestrian_overtaking,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.2248,0.6922,3,3
orca,francis2023_parallel_traffic,parallel_traffic,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.3333,0.2154,0.6427,3,3
ppo,francis2023_crowd_navigation,crowd_navigation,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.3333,0.1299,0.3671,3,3
ppo,francis2023_parallel_traffic,parallel_traffic,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.3333,0.2024,0.628,3,3
ppo,classic_head_on_corridor_low,head_on_corridor,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.3334,-0.1275,0.5776,3,3
ppo,francis2023_perpendicular_traffic,perpendicular_traffic,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.3334,0.2533,0.5224,3,3
ppo,francis2023_robot_overtaking,robot_overtaking,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.3334,0.2258,0.6542,3,3
ppo,classic_overtaking_medium,overtaking,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.6667,0.252,0.4474,3,3
orca,francis2023_crowd_navigation,crowd_navigation,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,1.6667,0.2876,0.4782,3,3
orca,classic_head_on_corridor_medium,head_on_corridor,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,2.3333,0.1948,0.5195,3,3
orca,classic_overtaking_low,overtaking,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,4.3333,0.1623,0.532,3,3
sacadrl,francis2023_crowd_navigation,crowd_navigation,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,4.6667,0.1509,0.719,3,3
orca,classic_overtaking_medium,overtaking,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,5.0,0.198,0.5579,3,3
ppo,francis2023_pedestrian_obstruction,pedestrian_obstruction,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,5.3333,0.1365,0.5778,3,3
ppo,francis2023_frontal_approach,frontal_approach,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,6.0,0.1193,0.6277,3,3
ppo,classic_bottleneck_medium,bottleneck,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,8.0,0.1114,0.3384,3,3
orca,classic_cross_trap_low,cross_trap,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,8.3334,0.1871,0.4228,3,3
orca,francis2023_blind_corner,blind_corner,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,9.0,0.0762,0.6804,3,3
orca,francis2023_frontal_approach,frontal_approach,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,9.3333,0.086,0.6344,3,3
ppo,classic_cross_trap_low,cross_trap,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,9.6667,0.1265,0.4332,3,3
prediction_planner,classic_doorway_high,doorway,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,11.3333,0.284,0.4603,3,3
orca,francis2023_pedestrian_obstruction,pedestrian_obstruction,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,12.3333,0.0427,0.5827,3,3
orca,classic_t_intersection_low,t_intersection,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,15.6667,0.1374,0.4511,3,3
orca,classic_t_intersection_medium,t_intersection,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,16.6667,0.131,0.4558,3,3
ppo,classic_cross_trap_medium,cross_trap,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,17.6667,0.0623,0.4314,3,3
prediction_planner,francis2023_perpendicular_traffic,perpendicular_traffic,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,19.0,0.2109,0.7869,3,3
prediction_planner,francis2023_crowd_navigation,crowd_navigation,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,55.3334,0.2285,0.6558,3,3
orca,francis2023_intersection_no_gesture,intersection_no_gesture,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.3333,1.0,0.6667,0.6667,0.0,-0.6667,0.0,0.0,0.1604,0.6439,3,3
orca,francis2023_intersection_proceed,intersection_proceed,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.3333,1.0,0.6667,0.6667,0.0,-0.6667,0.0,0.0,0.1604,0.6439,3,3
orca,francis2023_intersection_wait,intersection_wait,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.3333,1.0,0.6667,0.6667,0.0,-0.6667,0.0,0.0,0.1604,0.6439,3,3
ppo,classic_head_on_corridor_medium,head_on_corridor,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,0.0,-0.1689,0.691,3,3
ppo,classic_t_intersection_low,t_intersection,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,0.0,0.183,0.6357,3,3
ppo,francis2023_intersection_no_gesture,intersection_no_gesture,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.3333,1.0,0.6667,0.6667,0.0,-0.6667,0.0,0.0,0.1823,0.646,3,3
ppo,francis2023_intersection_proceed,intersection_proceed,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.3333,1.0,0.6667,0.6667,0.0,-0.6667,0.0,0.0,0.1692,0.646,3,3
ppo,francis2023_intersection_wait,intersection_wait,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.3333,1.0,0.6667,0.6667,0.0,-0.6667,0.0,0.0,0.1692,0.646,3,3
prediction_planner,classic_bottleneck_low,bottleneck,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,0.0,0.1435,0.8258,3,3
prediction_planner,classic_urban_crossing_medium,crossing,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,0.0,0.1364,0.9027,3,3
prediction_planner,francis2023_exiting_room,exiting_room,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,0.0,0.1407,0.8588,3,3
sacadrl,classic_cross_trap_low,cross_trap,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,0.0,0.1388,0.8917,3,3
sacadrl,classic_group_crossing_high,group_crossing,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,0.0,0.137,0.988,3,3
socnav_sampling,classic_head_on_corridor_low,head_on_corridor,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,0.0,0.1561,0.6972,3,3
socnav_sampling,classic_t_intersection_low,t_intersection,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,0.0,0.1817,0.5948,3,3
socnav_sampling,classic_t_intersection_medium,t_intersection,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,0.0,0.1814,0.5932,3,3
socnav_sampling,francis2023_accompanying_peer,accompanying_peer,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,0.0,0.1468,0.7953,3,3
socnav_sampling,francis2023_intersection_no_gesture,intersection_no_gesture,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.3333,1.0,0.6667,0.6667,0.0,-0.6667,0.0,0.0,0.1602,0.646,3,3
socnav_sampling,francis2023_intersection_proceed,intersection_proceed,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.3333,1.0,0.6667,0.6667,0.0,-0.6667,0.0,0.0,0.1602,0.646,3,3
socnav_sampling,francis2023_intersection_wait,intersection_wait,budget_limited_clean_completion,h500 converts timeouts without aggregate safety cost and completes well inside h500.,aggregate_comparison,True,0.3333,1.0,0.6667,0.6667,0.0,-0.6667,0.0,0.0,0.1602,0.646,3,3
socnav_sampling,francis2023_leading_human,leading_human,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,0.0,0.1468,0.7953,3,3
socnav_sampling,francis2023_robot_overtaking,robot_overtaking,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,0.0,0.1507,0.7607,3,3
socnav_sampling,classic_overtaking_medium,overtaking,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,0.6667,0.1723,0.6447,3,3
ppo,francis2023_blind_corner,blind_corner,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,5.6667,0.0642,0.7532,3,3
ppo,classic_realworld_double_bottleneck_high,bottleneck,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,7.3334,0.1848,0.6714,3,3
ppo,classic_cross_trap_high,cross_trap,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,11.6666,0.1066,0.6473,3,3
prediction_planner,classic_bottleneck_medium,bottleneck,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,31.0,-0.0484,0.6667,3,3
prediction_planner,classic_bottleneck_high,bottleneck,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,55.0,-0.0628,0.7988,3,3
prediction_planner,francis2023_frontal_approach,frontal_approach,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.0,63.6667,-0.1813,0.9355,3,3
prediction_planner,francis2023_accompanying_peer,accompanying_peer,safety_regressed_completion,"h500 converts some timeouts, but the aggregate collision rate also increases.",aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.3333,0.0,0.1316,0.9628,3,3
prediction_planner,francis2023_down_path,down_path,safety_regressed_completion,"h500 converts some timeouts, but the aggregate collision rate also increases.",aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.3333,0.0,0.1308,0.9597,3,3
prediction_planner,francis2023_following_human,following_human,safety_regressed_completion,"h500 converts some timeouts, but the aggregate collision rate also increases.",aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.3333,0.0,0.1297,0.9845,3,3
prediction_planner,francis2023_leading_human,leading_human,safety_regressed_completion,"h500 converts some timeouts, but the aggregate collision rate also increases.",aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.3333,0.0,0.1322,0.9566,3,3
socnav_sampling,classic_overtaking_low,overtaking,safety_regressed_completion,"h500 converts some timeouts, but the aggregate collision rate also increases.",aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.3333,0.0,0.1804,0.6648,3,3
prediction_planner,francis2023_robot_overtaking,robot_overtaking,safety_regressed_completion,"h500 converts some timeouts, but the aggregate collision rate also increases.",aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.3333,7.3333,0.1497,0.9557,3,3
orca,classic_merging_low,merging,safety_regressed_completion,"h500 converts some timeouts, but the aggregate collision rate also increases.",aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.3333,10.0,-0.0255,0.7946,3,3
orca,classic_bottleneck_medium,bottleneck,safety_regressed_completion,"h500 converts some timeouts, but the aggregate collision rate also increases.",aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.3333,12.6667,-0.7483,0.7261,3,3
goal,classic_realworld_double_bottleneck_high,bottleneck,safety_regressed_completion,"h500 converts some timeouts, but the aggregate collision rate also increases.",aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.3333,65.6667,-0.1487,0.8843,3,3
prediction_planner,francis2023_narrow_hallway,narrow_hallway,safety_regressed_completion,"h500 converts some timeouts, but the aggregate collision rate also increases.",aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.3333,69.3333,-0.1036,0.7172,3,3
prediction_planner,classic_realworld_double_bottleneck_high,bottleneck,safety_regressed_completion,"h500 converts some timeouts, but the aggregate collision rate also increases.",aggregate_comparison,True,0.0,0.6667,0.6667,1.0,0.3333,-0.6667,0.3333,101.0,0.0654,0.7912,3,3
prediction_planner,classic_group_crossing_medium,group_crossing,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.3333,0.6667,0.3334,0.6667,0.3333,-0.3334,0.0,0.0,0.0834,0.787,3,3
prediction_planner,classic_doorway_medium,doorway,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.3333,0.6667,0.3334,0.6667,0.3333,-0.3334,0.0,0.3334,0.0859,0.75,3,3
orca,classic_doorway_low,doorway,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.3333,0.6667,0.3334,0.6667,0.3333,-0.3334,0.0,3.3334,0.1412,0.5738,3,3
ppo,classic_doorway_high,doorway,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.3333,0.6667,0.3334,0.6667,0.3333,-0.3334,0.0,4.6667,0.422,0.5744,3,3
prediction_planner,francis2023_exiting_elevator,exiting_elevator,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.3333,0.6667,0.3334,0.6667,0.3333,-0.3334,0.0,15.3333,0.0975,0.6309,3,3
goal,classic_group_crossing_high,group_crossing,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.0,0.3333,0.3333,1.0,0.6667,-0.3333,0.0,0.0,0.0644,0.9799,3,3
goal,francis2023_circular_crossing,circular_crossing,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.0,0.3333,0.3333,1.0,0.6667,-0.3333,0.0,0.0,0.064,0.9968,3,3
sacadrl,classic_group_crossing_medium,group_crossing,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.0,0.3333,0.3333,1.0,0.6667,-0.3333,0.0,0.0,0.0749,0.9783,3,3
social_force,francis2023_pedestrian_overtaking,pedestrian_overtaking,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.0,0.3333,0.3333,1.0,0.6667,-0.3333,0.0,0.0,0.0113,0.982,3,3
socnav_sampling,classic_cross_trap_low,cross_trap,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.0,0.3333,0.3333,1.0,0.6667,-0.3333,0.0,0.0,0.0862,0.7983,3,3
socnav_sampling,classic_head_on_corridor_medium,head_on_corridor,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.0,0.3333,0.3333,1.0,0.6667,-0.3333,0.0,0.0,0.0701,0.8552,3,3
socnav_sampling,classic_urban_crossing_medium,crossing,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.0,0.3333,0.3333,1.0,0.6667,-0.3333,0.0,0.0,0.0738,0.8879,3,3
socnav_sampling,francis2023_crowd_navigation,crowd_navigation,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.0,0.3333,0.3333,1.0,0.6667,-0.3333,0.0,0.0,0.0791,0.8203,3,3
socnav_sampling,francis2023_parallel_traffic,parallel_traffic,partial_timeout_relief,h500 improves success but leaves a material unresolved timeout tail.,aggregate_comparison,True,0.0,0.3333,0.3333,1.0,0.6667,-0.3333,0.0,0.0,0.0761,0.8893,3,3
prediction_planner,francis2023_robot_crowding,robot_crowding,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,0.3333,0.3333,1.0,0.6667,-0.3333,0.0,4.0,0.085,0.7739,3,3
goal,francis2023_perpendicular_traffic,perpendicular_traffic,exposure_enabled_completion,h500 converts timeouts while increasing near-miss exposure in the aggregate.,aggregate_comparison,True,0.0,0.3333,0.3333,1.0,0.6667,-0.3333,0.0,7.0,-0.0337,0.9984,3,3
